year,pop
1,5500000
120,7200000
400,5500000
850,7000000
1226,16000000
1345,20200000
1400,16600000
1457,19700000
1580,20000000
1594,18500000
1600,20000000
1670,18000000
1700,21000000
1715,19200000
1740,24600000
1745,24600000
1750,24500000
1755,25000000
1760,25700000
1765,26100000
1770,26600000
1775,27000000
1780,27600000
1789,28600000
1790,28100000
1795,28100000
1800,29100000
1801,29400000
1805,29500000
1806,29600000
1810,30000000
1811,30300000
1815,30300000
1816,30600000
1820,31250000
1821,31600000
1826,32700000
1830,33300000
1831,33600000
1835,34000000
1836,34300000
1841,34900000
1846,36100000
1850,36350000
1851,36500000
1856,36700000
1861,37400000
1872,37700000
1876,38800000
1881,39200000
1886,39800000
1891,39900000
1896,40200000
1901,40700000
1902,40800000
1903,40900000
1904,41000000
1905,41000000
1906,41100000
1907,41100000
1908,41200000
1909,41200000
1910,41400000
1911,41400000
1912,41500000
1913,41600000
1914,41600000
1915,40000000
1916,40000000
1917,39400000
1918,38700000
1919,38600000
1920,38900000
1921,39100000
1922,39800000
1923,39800000
1924,40200000
1925,40500000
1926,40700000
1927,40800000
1928,40900000
1929,41000000
1930,41300000
1931,41600000
1932,41500000
1933,41500000
1934,41600000
1935,41600000
1936,41500000
1937,41500000
1938,41600000
1939,41500000
1940,40700000
1941,39400000
1942,39200000
1943,39900000
1944,38800000
1945,39700000
1946,40300000
1947,40700000
1948,41100000
1949,41500000
1950,41600000
1951,42000000
1952,42300000
1953,42600000
1954,42900000
1955,43200000
1956,43600000
1957,44000000
1958,44600000
1959,45000000
1960,45500000
1961,45900000
1962,46400000
1963,47600000
1964,48100000
1965,48600000
1966,49000000
1967,49400000
1968,49700000
1969,50100000
1970,50500000
1971,51000000
1972,51500000
1973,51900000
1974,52300000
1975,52600000
1976,52800000
1977,53000000
1978,53300000
1979,53500000
1980,53700000
1981,54000000
1982,54300000
1983,54600000
1984,54900000
1985,55200000
1986,55400000
1987,55700000
1988,56000000
1989,56300000
1990,57996401
1991,58280135
1992,58571237
1993,58852002
1994,59070077
1995,59280577
1996,59487413
1997,59691177
1998,59899347
1999,60122665
2000,60508150
2001,60941410
2002,61385070
2003,61824030
2004,62251062
2005,62730537
2006,63186117
2007,63600690
2008,63961859
2009,64304500
2010,64612939
2011,64933400
2012,65241241
2013,65564756
2014,66130873
2015,66422469
2016,66602645
2017,66774482
2018,66992159
2019,67257982
2020,67441850
2021,67697091
2022,67926558
2023,68143433
2024,68373433
