age,females,males
0,310704,324842
1,335003,350041
2,343794,359212
3,345671,358872
4,355663,374866
5,362356,380519
6,371940,389513
7,381552,401603
8,392004,411899
9,405092,422356
10,406458,425647
11,413392,434487
12,416475,436608
13,426894,447448
14,421371,444476
15,423191,449933
16,420959,444271
17,421805,450137
18,407855,436299
19,397885,425183
20,387030,409836
21,387421,406290
22,388545,408176
23,396467,411908
24,377361,387894
25,377867,382678
26,374506,376992
27,381086,379187
28,382519,379211
29,381889,369244
30,384602,374103
31,403822,390382
32,411146,397806
33,421317,409770
34,424855,407992
35,433878,413926
36,433853,410461
37,440104,416506
38,438837,414834
39,433797,410016
40,427876,405045
41,451268,429740
42,451632,430624
43,458455,435445
44,431089,411536
45,418769,404420
46,417605,406457
47,405322,396341
48,418002,407594
49,438101,428719
50,458915,447511
51,467304,460139
52,464717,455588
53,456139,443080
54,450348,434873
55,447113,427058
56,444618,427268
57,455891,435307
58,456991,433474
59,463079,436277
60,457000,428969
61,441032,411563
62,441425,408745
63,438537,402480
64,435940,396152
65,424319,382623
66,421920,376976
67,419258,368247
68,415014,359034
69,409854,354061
70,401251,343352
71,407154,344622
72,392322,332116
73,403279,340702
74,394896,328295
75,389138,323670
76,377489,309764
77,354091,285960
78,263735,209353
79,254305,198191
80,244178,187350
81,223022,167050
82,194279,141387
83,196339,139340
84,202713,134894
85,191566,123648
86,181346,111253
87,174010,101899
88,159019,85952
89,149105,76201
90,131047,62442
91,120062,53601
92,102196,42440
93,85317,32214
94,66549,22916
95,53312,16688
96,40731,11106
97,31067,7851
98,21990,4959
99,14684,3112
100+,26997,4647
