country,annee,Homicides_p100k,Tentatives_d_homicides_p100k,Coups_et_blessures_volontaires_p1k,Coups_et_blessures_volontaires_intrafamiliaux_p1k,Autres_coups_et_blessures_volontaires_p1k,Violences_sexuelles_p1k,Vols_avec_armes_p1k,Vols_violents_sans_arme_p1k,Vols_sans_violence_contre_des_personnes_p1k,Cambriolages_de_logement_p1k,Vols_de_véhicules_p1k,Vols_dans_les_véhicules_p1k,Vols_d_accessoires_sur_véhicules_p1k,Destructions_et_dégradations_volontaires_p1k,Usage_de_stupéfiants_p1k,Usage_de_stupéfiants_AFD_p1k,Trafic_de_stupéfiants_p1k,Escroqueries_p1k
france entiere,2016,1.3675,3.391,3.2234,1.4272,1.7962,0.7793,0.1637,1.4224,10.6493,7.1939,2.4737,4.0977,1.6135,9.4053,2.743,0.0,0.6147,3.7449
france entiere,2017,1.2504,3.4201,3.3056,1.4432,1.8624,0.8536,0.1504,1.3408,10.6887,7.1927,2.3182,4.0706,1.5306,9.3546,2.832,0.0,0.6619,3.8195
france entiere,2018,1.2614,3.7051,3.5135,1.5622,1.9513,1.0072,0.1343,1.2386,10.4929,6.6864,2.1288,4.0169,1.4334,9.0057,2.7945,0.0,0.6826,3.858
france entiere,2019,1.3057,4.0419,3.7442,1.7894,1.9549,1.1202,0.1355,1.2029,10.7539,6.6266,2.0812,4.0126,1.3548,8.9641,2.6438,0.0,0.7038,4.3519
france entiere,2020,1.1688,4.6204,3.7437,1.9671,1.7766,1.1434,0.1271,0.9734,8.1773,5.2764,1.8063,3.3217,1.1104,7.6875,2.3884,0.4362,0.6149,4.5508
france entiere,2021,1.2414,4.6346,4.1246,2.2416,1.883,1.4245,0.1249,0.9173,8.6106,5.2339,1.8063,3.3291,1.1493,7.8441,3.2736,1.5582,0.6945,5.2929
france entiere,2022,1.4085,5.2693,4.707,2.6046,2.1024,1.5601,0.126,0.874,9.7079,5.8129,1.9574,3.6141,1.4901,7.8999,3.7012,2.1065,0.7239,5.6934
france entiere,2023,1.4643,5.9029,4.9236,2.8181,2.1055,1.6772,0.1276,0.7979,9.4409,5.9466,2.0571,3.7429,1.3611,8.1158,3.8663,2.39,0.7208,6.013
france entiere,2024,1.4658,6.3293,4.9518,2.8372,2.1146,1.8026,0.1273,0.7115,8.939,5.9788,2.0307,3.7632,1.4139,7.7592,4.2359,2.8571,0.7632,6.0183
france metro,2016,1.2347,3.1395,3.142,1.4008,1.7412,0.7699,0.1316,1.3908,10.7827,7.129,2.4824,4.0717,1.6376,9.5021,2.7642,0.0,0.6131,3.8091
france metro,2017,1.1572,3.1916,3.2235,1.4168,1.8067,0.8433,0.127,1.3214,10.8293,7.1485,2.3305,4.0587,1.5485,9.4585,2.8492,0.0,0.6622,3.8821
france metro,2018,1.1751,3.3496,3.4329,1.5334,1.8995,0.9985,0.1142,1.2307,10.6448,6.6979,2.145,4.0141,1.4548,9.1092,2.8115,0.0,0.6791,3.9246
france metro,2019,1.1936,3.673,3.6624,1.7578,1.9046,1.1078,0.113,1.1981,10.9118,6.6546,2.0962,4.0283,1.3759,9.0648,2.6612,0.0,0.7042,4.4222
france metro,2020,1.0449,4.2654,3.6549,1.9306,1.7242,1.1321,0.1039,0.9691,8.2922,5.305,1.8191,3.3463,1.1298,7.7509,2.4038,0.4412,0.6169,4.6248
france metro,2021,1.1358,4.0516,4.0266,2.1986,1.828,1.4094,0.0969,0.9107,8.7431,5.2672,1.8167,3.346,1.1693,7.8987,3.3099,1.5849,0.6935,5.3711
france metro,2022,1.2514,4.5075,4.6122,2.5571,2.0551,1.548,0.0973,0.871,9.8598,5.8621,1.9751,3.6359,1.5211,7.9522,3.7517,2.1406,0.7201,5.7912
france metro,2023,1.2772,5.1757,4.8225,2.7689,2.0536,1.6627,0.0979,0.7906,9.5752,5.9972,2.0719,3.7676,1.3862,8.1663,3.8953,2.4046,0.7158,6.1162
france metro,2024,1.2818,5.3731,4.8388,2.7821,2.0567,1.786,0.0957,0.7016,9.0538,6.0206,2.0413,3.7798,1.4378,7.798,4.2669,2.8769,0.7569,6.1118
